customer_id,recency,frequency,monetary
CS1112,2015-01-14,15,1012
CS1113,2015-02-09,20,1490
CS1114,2015-02-12,19,1432
CS1115,2015-03-05,22,1659
CS1116,2014-08-25,13,857
CS1117,2014-07-02,17,1185
CS1118,2015-03-14,15,1011
CS1119,2015-03-05,15,1158
CS1120,2015-03-06,24,1677
CS1121,2015-02-03,26,1524
CS1122,2015-02-02,16,1156
CS1123,2014-11-27,19,1331
CS1124,2015-01-02,18,1127
CS1125,2015-02-19,12,885
CS1126,2014-09-18,19,1165
CS1127,2015-02-05,24,1676
CS1128,2014-12-31,26,1921
CS1129,2014-11-30,12,853
CS1130,2015-03-13,19,1185
CS1131,2015-02-24,14,998
CS1132,2015-02-17,16,1074
CS1133,2015-02-21,19,1413
CS1134,2014-11-27,16,1166
CS1135,2014-04-15,20,1267
CS1136,2015-02-17,20,1339
CS1137,2015-01-20,20,1380
CS1138,2015-03-03,24,1863
CS1139,2014-11-25,18,1245
CS1140,2015-02-16,20,1434
CS1141,2015-01-22,25,1778
CS1142,2014-10-06,22,1847
CS1143,2014-08-16,16,1255
CS1144,2014-10-11,18,1222
CS1145,2014-10-25,27,1967
CS1146,2015-03-09,16,1117
CS1147,2015-03-12,15,1004
CS1148,2014-12-23,25,1733
CS1149,2015-03-01,25,1768
CS1150,2014-12-17,14,1075
CS1151,2015-02-18,16,1040
CS1152,2015-03-10,20,1457
CS1153,2015-02-10,18,1274
CS1154,2015-03-16,23,1436
CS1155,2014-11-10,19,1317
CS1156,2015-03-07,20,1445
CS1157,2015-02-25,21,1427
CS1158,2014-12-04,18,1159
CS1159,2015-02-08,22,1439
CS1160,2015-01-31,20,1380
CS1161,2015-03-12,22,1389
CS1162,2015-02-25,24,1815
CS1163,2015-02-06,18,1290
CS1164,2015-02-27,26,2037
CS1165,2014-12-12,20,1335
CS1166,2014-12-08,19,1507
CS1167,2014-11-17,16,1132
CS1168,2014-11-25,14,916
CS1169,2014-12-20,18,1175
CS1170,2015-03-13,18,1272
CS1171,2015-03-15,22,1555
CS1172,2014-07-01,18,1306
CS1173,2015-01-26,21,1429
CS1174,2015-02-21,23,1554
CS1175,2015-01-23,17,1106
CS1176,2015-02-15,18,1401
CS1177,2015-02-06,17,1310
CS1178,2015-02-13,22,1535
CS1179,2015-01-29,29,2091
CS1180,2015-01-21,23,1637
CS1181,2015-01-18,27,1893
CS1182,2014-12-04,24,1749
CS1183,2015-03-04,26,1967
CS1184,2015-03-16,28,1999
CS1185,2015-03-05,27,1801
CS1186,2015-01-23,19,1439
CS1187,2015-02-22,22,1559
CS1188,2015-03-12,16,1010
CS1189,2015-01-12,23,1564
CS1190,2015-02-04,18,1324
CS1191,2015-01-09,21,1522
CS1192,2015-02-06,18,1313
CS1193,2014-06-06,15,953
CS1194,2015-03-07,22,1505
CS1195,2015-02-24,20,1378
CS1196,2015-03-15,23,1559
CS1197,2014-10-06,17,1180
CS1198,2015-03-05,22,1571
CS1199,2014-11-12,20,1344
CS1200,2014-09-27,21,1667
CS1201,2015-01-23,19,1375
CS1202,2015-01-21,20,1331
CS1203,2015-01-27,21,1536
CS1204,2015-01-28,17,1023
CS1205,2015-03-13,17,1103
CS1206,2014-10-10,24,1514
CS1207,2015-02-05,18,1310
CS1208,2015-02-09,15,1000
CS1209,2015-03-14,27,1809
CS1210,2014-12-08,21,1546
CS1211,2015-01-18,18,1218
CS1212,2014-10-09,17,1200
CS1213,2014-11-09,18,1191
CS1214,2015-03-09,19,1289
CS1215,2014-11-03,35,2362
CS1216,2014-10-28,24,1798
CS1217,2014-12-29,20,1431
CS1218,2015-02-07,24,1687
CS1219,2015-03-12,21,1447
CS1220,2015-02-24,9,720
CS1221,2014-10-04,19,1372
